index,feature_id,name_jp,description,type
0,Column_0,好中球数 (直近),直近の好中球数 (mm3),numerical
1,Column_1,白血球数 (直近),直近の白血球数 (/uL),numerical
2,Column_2,年齢,患者の年齢,numerical
3,Column_3,身長,患者の身長 (cm),numerical
4,Column_4,体重,患者の体重 (kg),numerical
5,Column_5,体温,直近の体温 (℃),numerical
6,Column_6,脈拍,直近の脈拍 (回/分),numerical
7,Column_7,呼吸数,直近の呼吸数 (回/分),numerical
8,Column_8,収縮期血圧,収縮期血圧 (mmHg),numerical
9,Column_9,拡張期血圧,拡張期血圧 (mmHg),numerical
10,Column_10,薬剤 1190402,YJコード: 1190402 の投与量,numerical
11,Column_11,薬剤 1214405,YJコード: 1214405 の投与量,numerical
12,Column_12,薬剤 1317715,YJコード: 1317715 の投与量,numerical
13,Column_13,薬剤 1319401,YJコード: 1319401 の投与量,numerical
14,Column_14,薬剤 2399402,YJコード: 2399402 の投与量,numerical
15,Column_15,薬剤 2399403,YJコード: 2399403 の投与量,numerical
16,Column_16,薬剤 2399404,YJコード: 2399404 の投与量,numerical
17,Column_17,薬剤 2454002,YJコード: 2454002 の投与量,numerical
18,Column_18,薬剤 2454405,YJコード: 2454405 の投与量,numerical
19,Column_19,薬剤 2478002,YJコード: 2478002 の投与量,numerical
20,Column_20,薬剤 2499406,YJコード: 2499406 の投与量,numerical
21,Column_21,薬剤 2499407,YJコード: 2499407 の投与量,numerical
22,Column_22,薬剤 2499412,YJコード: 2499412 の投与量,numerical
23,Column_23,薬剤 3919401,YJコード: 3919401 の投与量,numerical
24,Column_24,薬剤 3929407,YJコード: 3929407 の投与量,numerical
25,Column_25,薬剤 3929410,YJコード: 3929410 の投与量,numerical
26,Column_26,薬剤 3999423,YJコード: 3999423 の投与量,numerical
27,Column_27,薬剤 3999429,YJコード: 3999429 の投与量,numerical
28,Column_28,薬剤 3999445,YJコード: 3999445 の投与量,numerical
29,Column_29,薬剤 3999462,YJコード: 3999462 の投与量,numerical
30,Column_30,薬剤 4211002,YJコード: 4211002 の投与量,numerical
31,Column_31,薬剤 4211401,YJコード: 4211401 の投与量,numerical
32,Column_32,薬剤 4211402,YJコード: 4211402 の投与量,numerical
33,Column_33,薬剤 4212400,YJコード: 4212400 の投与量,numerical
34,Column_34,薬剤 4213400,YJコード: 4213400 の投与量,numerical
35,Column_35,薬剤 4219002,YJコード: 4219002 の投与量,numerical
36,Column_36,薬剤 4219003,YJコード: 4219003 の投与量,numerical
37,Column_37,薬剤 4219004,YJコード: 4219004 の投与量,numerical
38,Column_38,薬剤 4219400,YJコード: 4219400 の投与量,numerical
39,Column_39,薬剤 4219401,YJコード: 4219401 の投与量,numerical
40,Column_40,薬剤 4219402,YJコード: 4219402 の投与量,numerical
41,Column_41,薬剤 4219403,YJコード: 4219403 の投与量,numerical
42,Column_42,薬剤 4219404,YJコード: 4219404 の投与量,numerical
43,Column_43,薬剤 4219405,YJコード: 4219405 の投与量,numerical
44,Column_44,薬剤 4219406,YJコード: 4219406 の投与量,numerical
45,Column_45,薬剤 4221001,YJコード: 4221001 の投与量,numerical
46,Column_46,薬剤 4222001,YJコード: 4222001 の投与量,numerical
47,Column_47,薬剤 4222400,YJコード: 4222400 の投与量,numerical
48,Column_48,薬剤 4223004,YJコード: 4223004 の投与量,numerical
49,Column_49,薬剤 4223005,YJコード: 4223005 の投与量,numerical
50,Column_50,薬剤 4223401,YJコード: 4223401 の投与量,numerical
51,Column_51,薬剤 4223701,YJコード: 4223701 の投与量,numerical
52,Column_52,薬剤 4224401,YJコード: 4224401 の投与量,numerical
53,Column_53,薬剤 4224403,YJコード: 4224403 の投与量,numerical
54,Column_54,薬剤 4229001,YJコード: 4229001 の投与量,numerical
55,Column_55,薬剤 4229100,YJコード: 4229100 の投与量,numerical
56,Column_56,薬剤 4229101,YJコード: 4229101 の投与量,numerical
57,Column_57,薬剤 4229400,YJコード: 4229400 の投与量,numerical
58,Column_58,薬剤 4229401,YJコード: 4229401 の投与量,numerical
59,Column_59,薬剤 4229402,YJコード: 4229402 の投与量,numerical
60,Column_60,薬剤 4229403,YJコード: 4229403 の投与量,numerical
61,Column_61,薬剤 4231400,YJコード: 4231400 の投与量,numerical
62,Column_62,薬剤 4233400,YJコード: 4233400 の投与量,numerical
